Epoch,Joint,Rec,KLD
228,277.400,0.314,0.990
229,278.387,0.315,0.992
230,278.794,0.316,0.997
231,277.380,0.314,1.001
232,276.470,0.313,0.993
233,275.135,0.312,0.982
234,275.401,0.312,0.979
235,275.752,0.313,0.961
236,277.746,0.316,0.964
237,274.511,0.312,0.975
238,274.359,0.312,0.974
239,274.736,0.313,0.954
240,274.142,0.312,0.964
241,274.246,0.312,0.965
242,273.966,0.312,0.968
243,273.632,0.312,0.951
244,273.596,0.312,0.954
245,273.102,0.312,0.946
246,273.878,0.313,0.953
247,272.421,0.311,0.946
248,272.456,0.311,0.943
249,271.462,0.310,0.952
250,271.549,0.311,0.945
251,270.554,0.309,0.948
252,271.091,0.310,0.936
253,271.476,0.311,0.927
254,270.313,0.310,0.921
255,269.366,0.309,0.930
256,270.384,0.310,0.912
257,269.476,0.309,0.923
258,269.834,0.310,0.915
259,268.158,0.308,0.926
260,270.141,0.311,0.917
261,270.192,0.311,0.902
262,269.413,0.310,0.903
263,269.031,0.310,0.911
264,269.854,0.311,0.910
265,268.573,0.310,0.902
266,267.511,0.309,0.896
267,267.310,0.308,0.901
268,267.548,0.309,0.887
269,267.834,0.309,0.894
270,267.973,0.310,0.893
271,267.157,0.309,0.881
272,266.606,0.308,0.889
273,266.720,0.309,0.881
274,268.638,0.311,0.882
275,266.207,0.308,0.876
276,264.983,0.307,0.881
277,265.827,0.308,0.868
278,265.234,0.308,0.873
279,266.835,0.310,0.869
280,267.642,0.311,0.863
281,267.325,0.311,0.867
282,266.766,0.310,0.869
283,263.438,0.306,0.862
284,264.018,0.307,0.861
285,264.136,0.307,0.875
286,263.921,0.308,0.858
287,264.469,0.308,0.857
288,265.384,0.310,0.843
289,263.772,0.308,0.843
290,263.274,0.307,0.849
291,263.791,0.308,0.852
292,268.871,0.315,0.842
293,262.305,0.307,0.851
294,262.057,0.307,0.851
295,265.865,0.312,0.830
296,262.650,0.308,0.839
297,261.401,0.306,0.828
298,260.044,0.305,0.836
299,260.847,0.306,0.824
300,262.723,0.308,0.828
